match_id,date,map,map_number,team_A,team_B,winner,team_A_rank,team_B_rank,rank_diff,abs_rank_diff,picked_by_is_A,is_decider,map_winrate_A,map_winrate_B,recent_form_A,recent_form_B,winner_is_A,split_row,split_match,elo_diff,map_elo_diff,h2h_rate,h2h_games,momentum_diff,streak_A,streak_B,days_since_last_A,days_since_last_B,overall_winrate_A,overall_winrate_B,winrate_diff,opponent_strength_A,opponent_strength_B,map_games_A,map_games_B,map_experience_diff
84606,2025-03-30,Mirage,3,Aurora,ECLOT,Aurora,6,51,-45,45,0,0,0.5,0.5,0.6,0.0,1,train,test,17.813420673365954,1.150022555690839,0.5,0,0.0,2,0,2,30,0.5555555555555556,0.5,0.05555555555555558,1499.4907043370379,1500.0,2,0,2
82536,2025-03-30,Mirage,4,Vitality,MOUZ,MOUZ,2,4,-2,2,0,0,1.0,0.5,0.6666666666666666,0.7142857142857143,0,train,train,-37.253807153547086,20.0,0.5,0,0.5,2,4,1,1,0.6666666666666666,1.0,-0.33333333333333337,1526.9708101490633,1477.74948613926,1,0,1
82536,2025-03-30,Dust2,5,Vitality,MOUZ,MOUZ,2,4,-2,2,1,0,0.5,1.0,0.8,0.6666666666666666,0,train,train,-65.83569427870202,-20.0,0.0,1,-0.5,-1,5,0,0,0.5,1.0,-0.5,1538.4019507752832,1483.5715245864562,0,1,-1
82536,2025-03-30,Nuke,6,Vitality,MOUZ,Vitality,2,4,-2,2,0,0,0.0,1.0,0.75,0.8,1,val,train,-91.84355081443869,-58.84997744430916,0.0,2,-1.0,-2,6,0,0,0.4,1.0,-0.6,1547.8614208045888,1485.2855621732758,1,2,-1
82536,2025-03-30,Train,7,Vitality,MOUZ,Vitality,2,4,-2,2,0,1,0.5,0.5,0.6666666666666666,1.0,1,train,train,-51.576129920181074,0.0,0.33333333333333337,3,0.0,1,-1,0,0,0.5,0.8571428571428571,-0.3571428571428571,1550.8121157496046,1489.3861190848795,0,0,0
82536,2025-03-30,Inferno,3,Vitality,MOUZ,Vitality,2,4,-2,2,1,0,0.5,1.0,0.5714285714285714,0.75,1,train,train,-14.860382047545727,-20.0,0.5,4,-0.5,2,-2,0,0,0.5714285714285714,0.75,-0.1785714285714286,1550.2972015765704,1494.756271010622,0,1,-1
84607,2025-03-30,Anubis,3,Metizport,ECSTATIC,Metizport,78,31,47,47,1,0,0.5,0.5,0.5,1.0,1,train,val,0.0,0.0,0.5,0,0.0,0,0,30,30,0.5,0.5,0.0,1500.0,1500.0,0,0,0
84606,2025-03-30,Nuke,4,Aurora,ECLOT,Aurora,6,51,-45,45,1,0,0.0,0.5,0.5555555555555556,0.5,1,train,test,48.1741801196365,-20.0,1.0,1,-0.5,3,-1,0,0,0.6,0.0,0.6,1498.0235959310207,1532.9938003965012,1,0,1
84607,2025-03-30,Nuke,4,Metizport,ECSTATIC,Metizport,78,31,47,47,0,0,0.5,1.0,1.0,0.6666666666666666,1,val,val,32.0,0.0,1.0,1,0.0,1,-1,0,0,1.0,0.0,1.0,1484.0,1516.0,0,0,0
84231,2025-03-30,Nuke,4,Sashi,ECSTATIC,ECSTATIC,52,31,21,21,1,0,0.5,0.5,0.0,1.0,0,train,train,30.53049847102443,20.0,0.5,0,0.5,0,-2,30,0,0.5,0.0,0.5,1500.0,1523.2652492355123,0,1,-1
84231,2025-03-30,Train,3,Sashi,ECSTATIC,ECSTATIC,52,31,21,21,0,0,0.5,0.5,0.5,0.5,0,val,train,-4.274248825787481,0.0,0.0,1,0.0,-1,1,0,0,0.0,0.3333333333333333,-0.3333333333333333,1486.8718751773815,1509.709374940873,0,0,0
84608,2025-03-31,Nuke,6,Aurora,Metizport,Aurora,6,78,-72,72,1,0,0.5,1.0,0.7,1.0,1,val,train,16.258907810298297,-18.84997744430916,0.5,0,-0.5,4,2,1,1,0.7,1.0,-0.30000000000000004,1493.525997370225,1476.7347507644877,2,1,1
84608,2025-03-31,Anubis,3,Aurora,Metizport,Aurora,6,78,-72,72,0,0,0.5,1.0,0.7,0.6666666666666666,1,train,train,46.762499253915394,-20.0,1.0,1,-0.5,5,-1,0,0,0.7,0.6666666666666666,0.033333333333333326,1496.727498324499,1505.1702345107024,0,1,-1
84608,2025-03-31,Mirage,4,Aurora,Metizport,Metizport,6,78,-72,72,1,0,0.6666666666666666,0.5,0.8,0.5,0,train,train,74.48133434557258,21.083822177627553,1.0,2,0.16666666666666663,6,-2,0,0,0.8,0.5,0.30000000000000004,1496.8626609307894,1522.8528307702668,3,0,3
84608,2025-03-31,Ancient,5,Aurora,Metizport,Aurora,6,78,-72,72,0,0,0.5,0.5,0.7,0.6,1,train,train,35.72454025122988,1.150022555690839,0.6666666666666666,3,0.0,-1,1,0,0,0.7,0.6,0.09999999999999998,1500.6099157539718,1529.5867091165712,2,0,2
76976,2025-04-01,Anubis,7,TYLOO,Gods Reign,TYLOO,9,51,-42,42,0,1,0.5,0.5,1.0,0.5,1,val,val,16.0,0.0,0.5,0,0.0,1,0,7,30,1.0,0.5,0.5,1484.0,1500.0,0,0,0
85895,2025-04-02,Anubis,7,Complexity,Metizport,Complexity,51,78,-27,27,0,1,0.5,0.5,0.5,0.5,1,test,train,-6.437084575282597,1.150022555690839,0.5,0,0.0,0,-1,30,2,0.5,0.5,0.0,1500.0,1536.46939429332,0,2,-2
85500,2025-04-02,Mirage,3,Aurora,Monte,Aurora,6,44,-38,38,1,0,0.5,0.5,0.7,0.5,1,train,train,70.88282017706456,-0.12837255961267147,0.5,0,0.0,1,0,2,30,0.7,0.5,0.19999999999999996,1501.3241533265543,1500.0,4,0,4
85500,2025-04-02,Ancient,4,Aurora,Monte,Aurora,6,44,-38,38,0,0,0.6666666666666666,0.5,0.8,0.0,1,train,train,96.4433673521246,21.083822177627553,1.0,1,0.16666666666666663,2,-1,0,0,0.8,0.0,0.8,1498.4334436594368,1583.6630937645946,3,0,3
85968,2025-04-02,Nuke,3,CYBERSHOKE,Aurora,Aurora,51,6,45,45,0,0,0.5,0.6666666666666666,0.5,0.8,0,train,train,-95.332378546266,-22.234051056267617,0.5,0,-0.16666666666666663,0,3,30,0,0.5,0.9,-0.4,1500.0,1494.385963993797,0,3,-3
85894,2025-04-02,Mirage,7,Metizport,Nemiga,Nemiga,78,41,37,37,0,1,1.0,0.0,0.4285714285714285,0.3333333333333333,0,test,train,1.8878134235633297,41.212194737240225,0.5,0,1.0,-2,1,0,8,0.42857142857142855,0.3333333333333333,0.09523809523809523,1533.5875386493212,1519.425877368212,1,1,0
85968,2025-04-02,Mirage,7,CYBERSHOKE,Aurora,CYBERSHOKE,51,6,45,45,0,1,0.5,0.6,0.0,0.8,1,train,train,-118.76585917828947,-19.8790171586038,0.0,1,-0.09999999999999998,-1,4,0,0,0.0,0.9,-0.9,1607.0491188622777,1493.356443939886,0,5,-5
85968,2025-04-02,Anubis,4,CYBERSHOKE,Aurora,CYBERSHOKE,51,6,45,45,1,0,0.5,1.0,0.5,0.8,1,train,train,-76.23417358069241,-21.15002255569084,0.5,2,-0.5,1,-1,0,0,0.5,0.8,-0.30000000000000004,1596.4161974628785,1496.0378919657396,0,1,-1
85897,2025-04-03,Dust2,7,9 Pandas,Nemiga,Nemiga,51,41,10,10,0,1,0.5,1.0,0.5,0.6666666666666666,0,val,val,-4.339802531783107,-20.0,0.5,0,-0.5,0,2,30,1,0.5,0.5,0.0,1500.0,1508.0828439322986,0,1,-1
85899,2025-04-03,Train,7,Passion UA,Nemiga,Nemiga,32,41,-9,9,0,1,0.5,0.5,0.5,0.6,0,train,train,-20.139957632882442,0.0,0.5,0,0.0,0,3,30,0,0.5,0.6,-0.09999999999999998,1500.0,1503.306244125619,0,0,0
85903,2025-04-03,Ancient,7,Imperial Valkyries,Nemiga,Nemiga,51,41,10,10,0,1,0.5,0.5,0.0,0.5,0,val,train,-35.213515760857945,0.0,0.5,0,0.0,0,4,30,0,0.5,0.6666666666666666,-0.16666666666666663,1500.0,1500.2429437500198,0,0,0
85900,2025-04-03,Mirage,7,Metizport,Imperial Valkyries,Metizport,78,51,27,27,0,1,0.5,0.5,0.375,0.5,1,train,train,-11.562368728681577,-1.1491055459064228,0.5,0,0.0,-3,-1,1,0,0.375,0.0,0.375,1529.931571634629,1549.597403407618,2,0,2
86020,2025-04-04,Nuke,7,Dusty Roots,9z,Dusty Roots,51,50,1,1,0,1,0.5,0.5,0.5,0.5,1,train,train,0.0,0.0,0.5,0,0.0,0,0,30,30,0.5,0.5,0.0,1500.0,1500.0,0,0,0
86020,2025-04-04,Dust2,4,Dusty Roots,9z,9z,51,50,1,1,0,0,0.5,0.5,1.0,0.0,0,train,train,32.0,0.0,1.0,1,0.0,1,-1,0,0,1.0,0.0,1.0,1484.0,1516.0,0,0,0
86020,2025-04-04,Inferno,3,Dusty Roots,9z,Dusty Roots,51,50,1,1,1,0,0.5,0.5,0.5,0.5,1,train,train,-2.9390030579511404,0.0,0.5,2,0.0,-1,1,0,0,0.5,0.5,0.0,1492.7347507644877,1507.2652492355123,0,0,0
